#SUBMITTED ID	NAME	SYMBOL
FBgn0036557	mitochondrial ribosomal protein S31	mRpS31
FBgn0034727	mitochondrial ribosomal protein S29	mRpS29
FBgn0032236	mitochondrial ribosomal protein S7	mRpS7
FBgn0039765	mitochondrial ribosomal protein S18C	mRpS18C
FBgn0030572	mitochondrial ribosomal protein S25	mRpS25
FBgn0031639	mitochondrial ribosomal protein S2	mRpS2
FBgn0034361	mitochondrial ribosomal protein S28	mRpS28
FBgn0034986	mitochondrial ribosomal protein S17	mRpS17
FBgn0003714	technical knockout	tko
FBgn0030692	mitochondrial ribosomal protein S30	mRpS30
FBgn0026261	bonsai	bonsai
FBgn0035534	mitochondrial ribosomal protein S6	mRpS6
FBgn0260407	mitochondrial ribosomal protein S23	mRpS23
FBgn0285951	mitochondrial ribosomal protein S34	mRpS34
FBgn0287187	mitochondrial ribosomal protein S5	mRpS5
FBgn0039300	Ribosomal protein S27	RpS27
FBgn0039129	Ribosomal protein S19b	RpS19b
FBgn0010412	Ribosomal protein S19a	RpS19a
FBgn0003517	stubarista	sta
FBgn0034138	Ribosomal protein S15	RpS15
FBgn0261592	Ribosomal protein S6	RpS6
FBgn0015521	Ribosomal protein S21	RpS21
FBgn0005533	Ribosomal protein S17	RpS17
FBgn0085211	Ribosomal protein S28-like	RpS28-like
FBgn0010411	Ribosomal protein S18	RpS18
FBgn0019936	Ribosomal protein S20	RpS20
FBgn0034743	Ribosomal protein S16	RpS16
FBgn0011284	Ribosomal protein S4	RpS4
FBgn0039713	Ribosomal protein S8	RpS8
FBgn0033699	Ribosomal protein S11	RpS11
FBgn0010198	Ribosomal protein S15Aa	RpS15Aa
FBgn0002590	Ribosomal protein S5a	RpS5a
FBgn0039739	Ribosomal protein S28a	RpS28a
FBgn0261596	Ribosomal protein S24	RpS24
FBgn0030136	Ribosomal protein S28b	RpS28b
FBgn0038834	Ribosomal protein S30	RpS30
FBgn0261597	Ribosomal protein S26	RpS26
FBgn0027494	Ribosomal protein S10a	RpS10a
FBgn0010265	Ribosomal protein S13	RpS13
FBgn0261599	Ribosomal protein S29	RpS29
FBgn0003942	Ribosomal protein S27A	RpS27A
FBgn0002622	Ribosomal protein S3	RpS3
FBgn0004867	Ribosomal protein S2	RpS2
FBgn0004403	Ribosomal protein S14a	RpS14a
FBgn0038277	Ribosomal protein S5b	RpS5b
FBgn0033912	Ribosomal protein S23	RpS23
FBgn0086472	Ribosomal protein S25	RpS25
FBgn0004404	Ribosomal protein S14b	RpS14b
FBgn0017545	Ribosomal protein S3A	RpS3A
FBgn0039757	Ribosomal protein S7	RpS7
FBgn0010408	Ribosomal protein S9	RpS9
FBgn0033555	Ribosomal protein S15Ab	RpS15Ab
FBgn0285947	Ribosomal protein S10b	RpS10b
FBgn0286213	Ribosomal protein S12	RpS12
