age,mode,age:mode,metabolite
2.51953294000153e-08,3.40411868006975e-07,0.00352337400360546,Glycine
6.43053016163325e-08,8.94934998154923e-13,0.000672869208378933,betaAlanine
0.354558380797472,3.9102600638706e-18,0.000359295111049803,Alanine
3.44775654615082e-13,3.51869111119108e-30,0.110382949293832,Sarcosine
1.67535926561696e-09,1.23874311967634e-12,0.586431384245615,3-Aminoisobutyrate
2.9808822962406e-07,1.80840409817604e-09,0.458708676935539,L-2-Aminobutyric Acid
0.020738210517284,2.49052577477776e-16,0.00127073810746438,2-Aminoisobutyric Acid
7.22022707882462e-10,4.8573935150701e-16,0.0282399302249263,Serine
4.142947969561e-13,6.42476334787614e-13,0.00301518437811888,Hypotaurine
7.51201388431201e-08,1.8985270866662e-12,0.150897791495199,Histamine
0.0488392759838844,3.86611440308151e-28,0.0267112949211393,Proline
1.0416471252363e-10,3.9837343049694e-21,0.0282399302249263,Valine
0.443475736240248,1.40531861732226e-15,1.09264768751335e-07,Threonine
0.000214460056440019,2.35649322985512e-09,0.063070416769861,Cysteine
2.02324835708731e-13,6.85031828759483e-24,0.0267112949211393,Taurine
2.37462368953139e-07,2.90966916301236e-10,0.000759499571463127,Pipecolate
1.81719690002467e-07,5.56854895103632e-14,0.458708676935539,Aminolevulinate
1.0416471252363e-10,1.53074624041288e-17,0.0525600824655114,Leucine /D-Norleucine
2.56320309516125e-11,8.04947321663539e-20,0.150897791495199,iso-Leucine /allo-isoLeucine
0.000730132582644977,1.76745751279583e-18,0.00553699852639273,Asparagine
0.000146478574087764,1.59751308457844e-14,0.201661047627427,S-Methylcysteine
0.000262236728068563,1.23661456555589e-09,0.499248571044294,4-Aminobenzoic Acid
2.3470445895715e-05,5.47058031413867e-19,0.458708676935539,Trigonelline
1.02485572954028e-22,1.02772899765341e-18,6.27468310676838e-07,4-Guanidinobutanoate
6.4741778640429e-05,1.06078430470424e-19,0.0174473376216646,Glutamine
1.34414231143e-05,7.30779243302798e-23,3.6918958661166e-05,Lysine
2.01223810185494e-12,1.15111547513624e-06,0.165068304981709,Deoxycarnitine
1.89795582860751e-06,2.95825399605636e-17,0.000669420041111635,Glutamic acid
1.33492782062709e-10,1.21207465431107e-11,0.55955454301716,Methionine
3.44775654615082e-13,8.77030464143387e-10,0.0239218162125151,Histidine
0.0207147526747492,3.64657617842541e-10,0.0947205167933881,Phenylalanine
1.37570691938816e-19,3.04738995790096e-27,0.499248571044294,Methionine Sulfoxide
0.636278570129589,6.11850712631741e-13,0.207734424318405,1/3-Methylhistidine
0.508013229511328,2.21371493205625e-15,0.638346887933287,Arginine
1.30427870257837e-05,2.02429402949552e-15,0.170376237180807,Tyrosine
0.000588760292556961,3.50647259057442e-18,0.00170245518245656,Epinephrine
0.000150564332535536,2.43686743576871e-20,0.00109737530098124,Phosphorylcholine
2.56601061142329e-06,1.123624993697e-21,0.0395315806366121,N6-Acetyl-Lysine
0.766317670628042,2.61577732459151e-25,6.56002086570966e-05,N6-Trimethyllysine
4.95865278477342e-06,1.80301540709393e-09,0.170376237180807,Dimethylarginine (A/SDMA)
1.02485572954028e-22,3.92240680573705e-11,4.16876606605623e-09,Acetylcarnitine
1.02392119591367e-07,1.52112775907222e-13,0.00136795098120323,L-Kynurenine
5.18590625072025e-06,5.82723642340672e-14,0.437009728444854,N-Ac-Arginine
0.126137013329063,3.34460380075802e-17,0.185056131184647,Cytidine
1.22281073833514e-11,1.72764154186264e-28,0.00387702651829182,Thiamine
0.000759486149600202,3.9837343049694e-21,0.0846851168239734,Argininosuccinate
9.12831421674729e-05,1.07309185905469e-09,0.318804807601536,5'-Methylthioadenosine
4.69393760758154e-07,2.55655910587314e-13,0.958335486225629,UMP
0.490206122181316,1.71498676459632e-16,0.749697300540219,SAH
1.35362986536436e-08,6.23668088999754e-10,0.0621808686879964,FAD
4.12221066994357e-06,2.61909416583325e-09,0.738965785010096,isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid
9.62834220247268e-08,1.38877868139246e-09,0.00275558646496434,gamma-Aminobutyrate
4.9251987423513e-09,1.72693214280319e-12,0.00944019791281949,Uracil
0.00513859669231829,1.53074624041288e-17,0.0478011746303447,Oxalacetate
0.989102838092136,2.21115712484416e-15,0.00577858974867417,Hypoxanthine
3.21222388487531e-07,1.19698687589234e-18,0.224368651569553,Erythronic/Threonic Acid
0.000105743142034218,4.56151020652811e-10,0.242833900338728,Anthranilic Acid
5.93887684466143e-05,6.26227691684843e-18,0.000759499571463127,o-Phosphoethanolamine
2.37462368953139e-07,3.27854049828323e-08,0.461853106760129,Alpha-Ketoglutaric Acid
0.591875638378396,6.55364744069107e-15,0.00282253198357591,Xanthine
0.169177437303814,2.34178521403676e-17,0.143789100180015,Arabitol/Xylitol
4.84004012303474e-09,1.73007469049063e-10,0.000669420041111635,Allantoin
0.00182479304472534,7.94153392909013e-11,0.0479458295616424,n-isoValerylglycine
1.00505173991744e-05,4.83674891986999e-15,0.318804807601536,3-Methyl-3-Hydroxyglutaric Acid
2.0085246243373e-06,3.16494284622209e-08,0.0405310108141315,Homogentisate
0.0701340719261645,3.85001890928375e-11,0.151544029365546,Urate
0.0488392759838844,2.06188515910126e-12,0.0525081783210371,trans-Aconitate
0.00639685508074038,1.85481180947396e-11,0.38441496955363,n-Formylmethionine
0.464924945443299,3.99768429934345e-14,0.798378493736182,Fructose
0.000213225781246985,2.23157303883208e-14,0.896163006046568,Sorbitol
0.0197224591472172,3.34460380075802e-17,0.21003598293877,N-Ac-L-Glutamine
0.0132203364251206,2.9825107001584e-22,0.499248571044294,Xanthurenic Acid
1.0416471252363e-10,5.27190778636954e-35,0.0170480210444898,Pentothenate
3.46302724089049e-10,3.30819521769253e-28,1.10464774503623e-10,Cystathionine
3.03183253793269e-10,4.72513679830294e-17,0.0184242258714634,N-Ac-Tyrosine
0.120158600755247,1.80948334420571e-17,0.00157971025908415,Myristic Acid
0.0167041416091952,5.01206508331004e-14,0.216703322462306,Ribose-5-P
0.0565712979750944,1.70512925533366e-12,0.0442927620958491,Pseudouridine
0.0247622980389093,7.39143112660258e-13,0.461853106760129,Sedoheptulose 7-Phosphate
0.158121233918873,8.04947321663539e-20,0.00944019791281949,DCMP
0.132600444152389,2.89939390182238e-21,0.0108888269617226,Reduced Glutathione
0.000761027764513761,2.50583376857001e-14,0.437009728444854,IMP
1.22646755691123e-06,3.23412352848256e-08,0.52126862943838,dCTP
0.0836381699456661,2.6782960783166e-13,0.021760506797485,UDP-GlcNAc
