1	A1BG
2	A1BG-AS1
3	A1CF
4	A2M
5	A2M-AS1
6	A2ML1
7	A2MP1
8	A4GALT
9	A4GNT
10	AAAS
11	AACS
12	AADACP1
13	AAED1
14	AAGAB
15	AAK1
16	AAMDC
17	AAMP
18	AANAT
19	AAR2
20	AARS
21	AARS2
22	AARSD1
23	AASDH
24	AASDHPPT
25	AASS
26	AATBC
27	AATF
28	AATK
29	AB015752.3
30	AB019441.29
31	ABALON
32	ABAT
33	ABC11-4932300O16.1
34	ABC13-47488600E17.1
35	ABC7-42389800N19.1
36	ABC7-43046700E7.1
37	ABCA1
38	ABCA10
39	ABCA11P
40	ABCA13
41	ABCA17P
42	ABCA2
43	ABCA3
44	ABCA5
45	ABCA6
46	ABCA7
47	ABCB1
48	ABCB10
49	ABCB4
50	ABCB6
51	ABCB7
52	ABCB8
53	ABCB9
54	ABCC1
55	ABCC10
56	ABCC11
57	ABCC2
58	ABCC3
59	ABCC4
60	ABCC5
61	ABCC6
62	ABCC6P1
63	ABCC9
64	ABCD1
65	ABCD1P2
66	ABCD1P4
67	ABCD2
68	ABCD3
69	ABCD4
70	ABCE1
71	ABCF1
72	ABCF2
73	ABCF3
74	ABCG1
75	ABCG2
76	ABHD1
77	ABHD10
78	ABHD11
79	ABHD11-AS1
80	ABHD12
81	ABHD12B
82	ABHD13
83	ABHD14A
84	ABHD14B
85	ABHD15
86	ABHD15-AS1
87	ABHD16A
88	ABHD16B
89	ABHD17A
90	ABHD17AP1
91	ABHD17AP3
92	ABHD17AP4
93	ABHD17AP5
94	ABHD17AP6
95	ABHD17B
96	ABHD17C
97	ABHD18
98	ABHD2
99	ABHD3
100	ABHD4
101	ABHD5
102	ABHD6
103	ABHD8
104	ABI1
105	ABI1P1
106	ABI2
107	ABI3
108	ABL1
109	ABL2
110	ABLIM1
111	ABLIM2
112	ABLIM3
113	ABO
114	ABR
115	ABRA
116	ABRACL
117	ABT1
118	ABTB1
119	ABTB2
120	AC000035.3
121	AC000068.10
122	AC000068.5
123	AC000068.9
124	AC000077.2
125	AC000081.2
126	AC000089.3
127	AC000123.2
128	AC000123.3
129	AC000403.4
130	AC001226.7
131	AC002044.1
132	AC002044.3
133	AC002044.4
134	AC002056.3
135	AC002059.10
136	AC002064.7
137	AC002075.4
138	AC002115.9
139	AC002116.7
140	AC002117.1
141	AC002128.5
142	AC002306.1
143	AC002310.12
144	AC002310.7
145	AC002398.11
146	AC002400.1
147	AC002407.3
148	AC002451.3
149	AC002454.1
150	AC002456.2
151	AC002467.7
152	AC002472.8
153	AC002480.2
154	AC002480.5
155	AC002511.2
156	AC002511.3
157	AC002519.6
158	AC002519.8
159	AC002543.2
160	AC002550.5
161	AC002550.6
162	AC002551.1
163	AC002984.2
164	AC003002.6
165	AC003005.2
166	AC003075.4
167	AC003104.1
168	AC003682.16
169	AC003956.1
170	AC003973.3
171	AC003991.3
172	AC004019.10
173	AC004019.13
174	AC004057.1
175	AC004067.5
176	AC004069.2
177	AC004076.5
178	AC004112.4
179	AC004129.9
180	AC004156.3
181	AC004158.3
182	AC004257.1
183	AC004381.6
184	AC004381.7
185	AC004381.8
186	AC004383.3
187	AC004386.4
188	AC004448.5
189	AC004449.6
190	AC004453.8
191	AC004461.4
192	AC004490.1
193	AC004538.3
194	AC004540.4
195	AC004540.5
196	AC004549.6
197	AC004623.2
198	AC004623.3
199	AC004692.5
200	AC004744.3
201	AC004754.3
202	AC004775.5
203	AC004837.4
204	AC004878.8
205	AC004893.11
206	AC004895.4
207	AC004920.2
208	AC004938.5
209	AC004941.3
210	AC004951.5
211	AC004951.6
212	AC004967.7
213	AC004980.7
214	AC004980.9
215	AC004985.12
216	AC004987.9
217	AC004988.1
218	AC005009.2
219	AC005017.2
220	AC005019.2
221	AC005037.3
222	AC005042.2
223	AC005062.2
224	AC005076.5
225	AC005082.12
226	AC005083.1
227	AC005086.3
228	AC005094.2
229	AC005104.3
230	AC005154.6
231	AC005154.7
232	AC005162.4
233	AC005189.6
234	AC005197.2
235	AC005220.3
236	AC005224.2
237	AC005229.5
238	AC005229.7
239	AC005237.4
240	AC005253.2
241	AC005253.4
242	AC005255.3
243	AC005262.2
244	AC005262.4
245	AC005264.2
246	AC005281.1
247	AC005300.5
248	AC005301.9
249	AC005304.1
250	AC005306.3
251	AC005307.1
252	AC005329.7
253	AC005336.5
254	AC005339.2
255	AC005355.1
256	AC005355.3
257	AC005363.11
258	AC005481.5
259	AC005498.3
260	AC005514.2
261	AC005517.3
262	AC005519.4
263	AC005522.7
264	AC005523.2
265	AC005523.3
266	AC005532.5
267	AC005534.6
268	AC005534.8
269	AC005540.3
270	AC005546.2
271	AC005562.1
272	AC005578.3
273	AC005593.2
274	AC005606.14
275	AC005606.15
276	AC005614.3
277	AC005616.1
278	AC005616.2
279	AC005618.6
280	AC005682.5
281	AC005740.6
282	AC005752.10
283	AC005757.6
284	AC005775.2
285	AC005776.1
286	AC005780.1
287	AC005785.2
288	AC005785.5
289	AC005786.3
290	AC005786.5
291	AC005786.6
292	AC005786.7
293	AC005795.1
294	AC005796.2
295	AC005808.3
296	AC005822.1
297	AC005838.2
298	AC005932.1
299	AC005943.6
300	AC005944.2
301	AC005954.4
302	AC006026.13
303	AC006026.9
304	AC006028.11
305	AC006033.22
306	AC006042.6
307	AC006042.7
308	AC006042.8
309	AC006077.3
310	AC006116.12
311	AC006116.15
312	AC006116.17
313	AC006116.19
314	AC006116.20
315	AC006116.21
316	AC006116.22
317	AC006128.2
