reads.numb,expressed.gene.numb,sample.id
15.665851,9425,embryo14-15h_E1_2_E4
8.685321,9451,embryo14-15h_E1_2_F10
4.904412,9576,embryo14-15h_E1_2_E7
7.100244,9324,embryo14-15h_E1_2_F9
3.281702,8511,embryo14-15h_E1_2_G8
8.179752,9008,embryo14-15h_E1_2_E12
2.101754,8310,embryo14-15h_E2_D1
2.620925,8496,embryo14-15h_E2_E9
4.918887,8511,embryo14-15h_E2_C6
2.520149,7810,embryo14-15h_E2_G8
6.67603,8825,embryo14-15h_E2_D8
7.611925,10043,embryo14-15h_E2_C3
1.137651,7363,embryo14-15h_E2_G6
4.05783,8425,embryo14-15h_E3_C10
1.736858,7203,embryo14-15h_E3_A5
2.109876,7376,embryo14-15h_E3_C3
2.121322,7129,embryo14-15h_E3_B4
10.949822,10632,embryo17-18h_E1_1_B6
7.923736,9667,embryo17-18h_E1_1_C1
1.201342,6121,embryo17-18h_E1_1_C2
8.550732,10141,embryo17-18h_E1_1_B2
13.731225,10333,embryo17-18h_E1_2_H1
5.411033,8840,embryo17-18h_E1_2_H6
1.794408,7668,embryo17-18h_E1_2_G9
3.037735,8070,embryo17-18h_E1_2_G6
1.590512,7417,embryo17-18h_E1_2_G4
7.790358,9878,embryo17-18h_E2_C1
0.666968,5017,embryo17-18h_E2_G2
0.451828,5069,embryo17-18h_E2_B12
8.41565,10251,embryo17-18h_E2_A5
0.453367,5592,embryo17-18h_E2_A1
7.204643,9878,embryo17-18h_E2_D5
2.780436,8586,embryo17-18h_E2_E2
6.703519,9810,embryo17-18h_E2_E5
5.595437,9565,embryo17-18h_E2_C8
19.481165,11291,embryo17-18h_E2_B1
1.665017,7744,embryo17-18h_E2_F6
1.624029,7921,embryo17-18h_E2_F1
0.597161,5131,embryo17-18h_E3_E3
4.930692,9640,embryo20-21h_E1_1_A10
6.892863,9989,embryo20-21h_E1_1_D3
1.722356,7147,embryo20-21h_E1_2_F4
2.300492,7948,embryo20-21h_E1_2_G12
4.74121,8730,embryo20-21h_E1_2_H2
6.741202,9142,embryo20-21h_E1_2_E11
5.225368,8404,embryo20-21h_E1_2_F5
3.15111,7551,embryo20-21h_E1_2_F1
1.20282,6214,embryo20-21h_E1_2_F11
1.376829,7106,embryo20-21h_E1_2_F12
2.885177,8695,embryo20-21h_E2_F3
2.811483,7760,embryo20-21h_E2_A2
3.685536,9133,embryo20-21h_E2_F8
3.828651,8136,embryo20-21h_E2_H10
0.604399,5234,embryo20-21h_E2_G1
1.311875,7928,embryo20-21h_E2_F5
11.148404,10555,embryo20-21h_E2_G11
1.008035,6716,embryo20-21h_E2_E6
6.391841,9731,embryo20-21h_E2_C4
12.552553,10077,embryo20-21h_E3_B6
