kegg.id	kegg.function	kegg.name
dme04122	Sulfur relay system - Drosophila melanogaster	Sulfur relay system
dme04130	SNARE interactions in vesicular transport - Drosophila melanogaster	SNARE interactions in vesicular transport
dme04136	Autophagy - other - Drosophila melanogaster	Autophagy - other
dme04137	Mitophagy - animal - Drosophila melanogaster	Mitophagy - animal
dme04140	Autophagy - animal - Drosophila melanogaster	Autophagy - animal
dme04141	Protein processing in endoplasmic reticulum - Drosophila melanogaster	Protein processing in endoplasmic reticulum
dme04142	Lysosome - Drosophila melanogaster	Lysosome
dme04144	Endocytosis - Drosophila melanogaster	Endocytosis
dme04145	Phagosome - Drosophila melanogaster	Phagosome
dme04146	Peroxisome - Drosophila melanogaster	Peroxisome
dme04150	mTOR signaling pathway - Drosophila melanogaster	mTOR signaling pathway
dme04213	Longevity regulating pathway - multiple species - Drosophila melanogaster	Longevity regulating pathway - multiple species
dme04214	Apoptosis - fly - Drosophila melanogaster	Apoptosis
dme04215	Apoptosis - multiple species - Drosophila melanogaster	Apoptosis - multiple species
dme04310	Wnt signaling pathway - Drosophila melanogaster	Wnt signaling pathway
dme04320	Dorso-ventral axis formation - Drosophila melanogaster	Dorso-ventral axis formation
dme04330	Notch signaling pathway - Drosophila melanogaster	Notch signaling pathway
dme04341	Hedgehog signaling pathway - fly - Drosophila melanogaster	Hedgehog signaling pathway
dme04350	TGF-beta signaling pathway - Drosophila melanogaster	TGF-beta signaling pathway
dme04391	Hippo signaling pathway - fly - Drosophila melanogaster	Hippo signaling pathway
dme04392	Hippo signaling pathway - multiple species - Drosophila melanogaster	Hippo signaling pathway - multiple species
dme04512	ECM-receptor interaction - Drosophila melanogaster	ECM-receptor interaction
dme04624	Toll and Imd signaling pathway - Drosophila melanogaster	Toll and Imd signaling pathway
dme04711	Circadian rhythm - fly - Drosophila melanogaster	Circadian rhythm
dme04745	Phototransduction - fly - Drosophila melanogaster	Phototransduction
