gene.name,mel.M.1,mel.M.2,mel.M.3,mel.F.1,mel.F.2,mel.F.3
FBgn0000008,0.0520221703193433,0.112654258994825,0.0984294671694058,0.0678609473534805,0.16461602987602,0.179161555109376
FBgn0000014,1.01357540359437,1.0356787956834,0.955359043458066,0.898132008587059,0.906329060785309,0.901031391407902
FBgn0000017,0.605419585634707,0.672720300842065,0.86142788513238,0.669576449703383,0.745812621311974,0.781859377521429
FBgn0000022,0.711102932551315,0.751409911644552,0.713954326841586,0.794304670151227,0.947314200933371,0.830331865076394
FBgn0000024,0.00741104793846348,0,1.02977199326994,0.993889423851617,0.900124128917938,1.05289857758022
FBgn0000032,0.369448346873464,0.361510445553541,0.539606091510737,0.399229856866311,0.325026909774872,0.457194956608265
FBgn0000042,3.49834975874709,3.49699803784509,3.48156030020069,3.49636813997586,3.47264355390517,3.48852258938174
FBgn0000043,2.71786557222258,2.72080673170189,2.66386347277638,2.7235273731429,2.62929433163485,2.69978506641931
FBgn0000044,0.383957296065098,0.175374371334141,0.202295102952723,0.311105749291655,0.0526254649432227,0.160065563857419
FBgn0000046,0.888483674421474,0.784360134146639,0.623025778040469,0.578308493160729,0.909078256543786,0.833168475359641
FBgn0000047,0.207536889244725,0.0814261650652668,0.0713236905863666,0.0993687899687102,0.213733124274965,0.0715918900428474
FBgn0000052,0.713739036277955,0.684167908423467,0.65488277919696,0.523758689298644,0.593400829683419,0.597478862180251
FBgn0000053,1.16218427734361,1.16372901688594,1.15061520213266,0.908974048559908,1.16219847728473,1.09973666769745
FBgn0000055,0.435194348443117,0.574827092112339,0.561652730692921,0.616450621327016,0.483106668613397,0.40048531827883
FBgn0000057,0.519950917142082,0.600346690314222,0.496553696190524,0.416115209286507,0.539839960651139,0.553556333758668
FBgn0000063,1.02479046992115,0.984013371757464,0.977407140771481,1.00216826563336,0.925167646513483,1.06915388981365
FBgn0000064,1.85892706949275,2.03519487547992,1.99840615397622,1.88493770654085,1.93575503016985,1.97673622380754
FBgn0000071,2.77032787229869,2.76925398074663,2.6685061623349,2.75717850744033,2.71987294360393,2.67624000503944
FBgn0000075,0.945642022089969,0.821789345531228,0.709006929602064,0.634075840927398,0.773349810786649,0.73432592619935
FBgn0000077,1.03688488599563,1.15259569774201,0.958844196953775,1.31487599337276,1.20417551451231,1.14632001344364
FBgn0000092,0.200466081315449,0.341916630440812,0.282821656720642,0.316405470907487,0.403654392280339,0.30265230889888
FBgn0000097,2.05118964242309,2.02291010891438,2.01815559994822,1.98356482311597,2.04582946586645,2.02019069325176
FBgn0000100,3.00987276939688,3.04053748537558,3.06354924085748,2.99608396611781,2.97513658877623,3.04980237121543
FBgn0000109,1.81520884645712,1.92170777879581,1.84697387634948,1.93961111365735,1.78206912340354,1.83303222869851
