dataset	taxaID	locus	gene	score	essentiality	pmid	Ref_db
110	7227	FBgn0000218	brh	1	E	NULL	flybase
110	7227	FBgn0000221	brn	0.694	C	NULL	flybase
110	7227	FBgn0000225	Bsb	0.25	C	NULL	flybase
110	7227	FBgn0000227	Bsg25A	0	NE	NULL	flybase
110	7227	FBgn0000228	Bsg25D	0.04	C	NULL	flybase
110	7227	FBgn0000229	bsk	0.562	C	NULL	flybase
110	7227	FBgn0000230	bsp	0	NE	NULL	flybase
110	7227	FBgn0000233	btd	0.694	C	NULL	flybase
110	7227	FBgn0000234	btdl	1	E	NULL	flybase
110	7227	FBgn0000237	bul	0.326	C	NULL	flybase
110	7227	FBgn0000239	bur	0.39	C	NULL	flybase
110	7227	FBgn0000240	bv	0	NE	NULL	flybase
110	7227	FBgn0000241	bw	0.04	C	NULL	flybase
110	7227	FBgn0000244	by	0	NE	NULL	flybase
110	7227	FBgn0000246	c(3)G	0	NE	NULL	flybase
110	7227	FBgn0000247	ca	0	NE	NULL	flybase
110	7227	FBgn0000250	cact	0.883	C	NULL	flybase
110	7227	FBgn0000251	cad	0.25	C	NULL	flybase
110	7227	FBgn0000253	Cam	0.734	C	NULL	flybase
110	7227	FBgn0000256	capu	0.404	C	NULL	flybase
110	7227	FBgn0000257	car	0.16	C	NULL	flybase
110	7227	FBgn0000259	CkIIbeta	0.094	C	NULL	flybase
110	7227	FBgn0000261	Cat	0.197	C	NULL	flybase
110	7227	FBgn0000262	cau	1	E	NULL	flybase
110	7227	FBgn0000271	ccw	0	NE	NULL	flybase
110	7227	FBgn0000273	Pka-C1	0.705	C	NULL	flybase
110	7227	FBgn0000274	Pka-C2	0.111	C	NULL	flybase
110	7227	FBgn0000276	CecA1	0	NE	NULL	flybase
110	7227	FBgn0000277	CecA2	0	NE	NULL	flybase
110	7227	FBgn0000278	CecB	0	NE	NULL	flybase
110	7227	FBgn0000282	cel	0	NE	NULL	flybase
110	7227	FBgn0000283	Cp190	0.326	C	NULL	flybase
110	7227	FBgn0000286	Cf2	0.062	C	NULL	flybase
110	7227	FBgn0000287	salr	0.25	C	NULL	flybase
110	7227	FBgn0000289	cg	0.39	C	NULL	flybase
110	7227	FBgn0000299	Col4a1	0.918	C	NULL	flybase
110	7227	FBgn0000300	cgd	1	E	NULL	flybase
110	7227	FBgn0000302	cha	1	E	NULL	flybase
110	7227	FBgn0000303	ChAT	0.709	C	NULL	flybase
110	7227	FBgn0000307	chif	0	NE	NULL	flybase
110	7227	FBgn0000308	chic	0.765	C	NULL	flybase
110	7227	FBgn0000316	cin	1	E	NULL	flybase
110	7227	FBgn0000317	ck	0.765	C	NULL	flybase
110	7227	FBgn0000318	cl	0	NE	NULL	flybase
110	7227	FBgn0000319	Chc	0.562	C	NULL	flybase
110	7227	FBgn0000320	eya	0.552	C	NULL	flybase
110	7227	FBgn0000324	clm	0	NE	NULL	flybase
110	7227	FBgn0000330	cm	0.25	C	NULL	flybase
110	7227	FBgn0000331	Crimp	1	E	NULL	flybase
110	7227	FBgn0000332	Cma	1	E	NULL	flybase
110	7227	FBgn0000336	cmt	1	E	NULL	flybase
110	7227	FBgn0000337	cn	0	NE	NULL	flybase
110	7227	FBgn0000339	cni	0.562	C	NULL	flybase
110	7227	FBgn0000344	compressed	1	E	NULL	flybase
110	7227	FBgn0000346	comt	0.669	C	NULL	flybase
110	7227	FBgn0000348	cop	0	NE	NULL	flybase
110	7227	FBgn0000351	cort	0.562	C	NULL	flybase
110	7227	FBgn0000352	cos	0.902	C	NULL	flybase
110	7227	FBgn0000354	cp	1	E	NULL	flybase
110	7227	FBgn0000355	Cp15	0	NE	NULL	flybase
110	7227	FBgn0000356	Cp16	0	NE	NULL	flybase
110	7227	FBgn0000357	Cp18	0.25	C	NULL	flybase
110	7227	FBgn0000358	Cp19	0	NE	NULL	flybase
110	7227	FBgn0000359	Cp36	0	NE	NULL	flybase
110	7227	FBgn0000360	Cp38	0	NE	NULL	flybase
110	7227	FBgn0000364	Cpt	1	E	NULL	flybase
110	7227	FBgn0000367	cra	1	E	NULL	flybase
110	7227	FBgn0000370	crc	0.378	C	NULL	flybase
110	7227	FBgn0000371	crib	1	E	NULL	flybase
110	7227	FBgn0000375	crooked-setae	0	NE	NULL	flybase
110	7227	FBgn0000376	crm	0.715	C	NULL	flybase
110	7227	FBgn0000377	crn	0.803	C	NULL	flybase
110	7227	FBgn0000378	crt	0.25	C	NULL	flybase
110	7227	FBgn0000380	cs	0	NE	NULL	flybase
110	7227	FBgn0000382	csw	0.722	C	NULL	flybase
110	7227	FBgn0000384	cta	1	E	NULL	flybase
110	7227	FBgn0000385	ctl	1	E	NULL	flybase
110	7227	FBgn0000388	Curl	0.02	C	NULL	flybase
110	7227	FBgn0000389	Cu-3	1	E	NULL	flybase
110	7227	FBgn0000392	cup	0	NE	NULL	flybase
110	7227	FBgn0000393	cur	1	E	NULL	flybase
110	7227	FBgn0000394	cv	0	NE	NULL	flybase
110	7227	FBgn0000395	cv-2	0.081	C	NULL	flybase
110	7227	FBgn0000400	cvw	0	NE	NULL	flybase
110	7227	FBgn0000401	cx	1	E	NULL	flybase
110	7227	FBgn0000404	CycA	0.927	C	NULL	flybase
110	7227	FBgn0000405	CycB	0.027	C	NULL	flybase
110	7227	FBgn0000406	Cyt-b5-r	0	NE	NULL	flybase
110	7227	FBgn0000411	D	0.479	C	NULL	flybase
110	7227	FBgn0000412	D1	0.16	C	NULL	flybase
110	7227	FBgn0000414	Dab	0.111	C	NULL	flybase
110	7227	FBgn0000415	dal	1	E	NULL	flybase
110	7227	FBgn0000416	Sap-r	0.027	C	NULL	flybase
110	7227	FBgn0000419	db	0.34	C	NULL	flybase
110	7227	FBgn0000420	dbl	1	E	NULL	flybase
110	7227	FBgn0000422	Ddc	0.923	C	NULL	flybase
110	7227	FBgn0000423	ddl	1	E	NULL	flybase
110	7227	FBgn0000427	1-Dec	0	NE	NULL	flybase
110	7227	FBgn0000434	der	0	NE	NULL	flybase
110	7227	FBgn0000438	dfa	0	NE	NULL	flybase
110	7227	FBgn0000439	Dfd	0.684	C	NULL	flybase
110	7227	FBgn0000441	dfw	0	NE	NULL	flybase
110	7227	FBgn0000442	Pkg21D	0	NE	NULL	flybase
110	7227	FBgn0000444	dg-a	0	NE	NULL	flybase
110	7227	FBgn0000446	dhm	0	NE	NULL	flybase
110	7227	FBgn0000447	Dhod	0.16	C	NULL	flybase
110	7227	FBgn0000448	Hr3	0.831	C	NULL	flybase
110	7227	FBgn0000449	dib	0.36	C	NULL	flybase
110	7227	FBgn0000450	dic	1	E	NULL	flybase
110	7227	FBgn0000451	ect	0.25	C	NULL	flybase
110	7227	FBgn0000454	Dip-B	0	NE	NULL	flybase
110	7227	FBgn0000455	Dip-C	0	NE	NULL	flybase
110	7227	FBgn0000459	disco	0.16	C	NULL	flybase
110	7227	FBgn0000463	Dl	0.76	C	NULL	flybase
110	7227	FBgn0000464	Lar	0.81	C	NULL	flybase
110	7227	FBgn0000470	dlv	0	NE	NULL	flybase
110	7227	FBgn0000473	Cyp6a2	0	NE	NULL	flybase
110	7227	FBgn0000477	DNaseII	0	NE	NULL	flybase
110	7227	FBgn0000479	dnc	0.094	C	NULL	flybase
110	7227	FBgn0000482	dor	0.694	C	NULL	flybase
110	7227	FBgn0000483	dotted	1	E	NULL	flybase
110	7227	FBgn0000484	double	1	E	NULL	flybase
110	7227	FBgn0000485	dow	0	NE	NULL	flybase
110	7227	FBgn0000489	Pka-C3	0	NE	NULL	flybase
110	7227	FBgn0000490	dpp	0.665	C	NULL	flybase
110	7227	FBgn0000491	droopy	0	NE	NULL	flybase
110	7227	FBgn0000492	Dr	0.601	C	NULL	flybase
110	7227	FBgn0000495	drg	1	E	NULL	flybase
110	7227	FBgn0000496	drw	0.25	C	NULL	flybase
110	7227	FBgn0000499	dsh	0.286	C	NULL	flybase
110	7227	FBgn0000500	Dsk	0	NE	NULL	flybase
110	7227	FBgn0000501	dsp	1	E	NULL	flybase
110	7227	FBgn0000504	dsx	0.081	C	NULL	flybase
110	7227	FBgn0000511	du	1	E	NULL	flybase
110	7227	FBgn0000517	dw-24E	1	E	NULL	flybase
110	7227	FBgn0000519	dwf	1	E	NULL	flybase
110	7227	FBgn0000520	dwg	0.882	C	NULL	flybase
110	7227	FBgn0000522	dwu	1	E	NULL	flybase
110	7227	FBgn0000524	dx	0.14	C	NULL	flybase
110	7227	FBgn0000526	dusky-body	0	NE	NULL	flybase
110	7227	FBgn0000527	e	0.027	C	NULL	flybase
110	7227	FBgn0000529	bsh	0	NE	NULL	flybase
110	7227	FBgn0000533	ea	0.678	C	NULL	flybase
110	7227	FBgn0000535	eag	0	NE	NULL	flybase
110	7227	FBgn0000536	eas	0.111	C	NULL	flybase
110	7227	FBgn0000537	eay	1	E	NULL	flybase
110	7227	FBgn0000539	E(B)	1	E	NULL	flybase
110	7227	FBgn0000541	E(bx)	0.715	C	NULL	flybase
110	7227	FBgn0000542	ec	0.25	C	NULL	flybase
110	7227	FBgn0000543	ecd	0.694	C	NULL	flybase
110	7227	FBgn0000546	EcR	0.856	C	NULL	flybase
110	7227	FBgn0000547	ed	0.413	C	NULL	flybase
110	7227	FBgn0000551	Edg78E	0	NE	NULL	flybase
110	7227	FBgn0000552	Edg84A	0	NE	NULL	flybase
110	7227	FBgn0000555	E(f)	1	E	NULL	flybase
110	7227	FBgn0000557	eEF1alpha2	0.111	C	NULL	flybase
110	7227	FBgn0000559	eEF2	1	E	NULL	flybase
110	7227	FBgn0000560	eg	0.197	C	NULL	flybase
